央视频道,#genre#
广东卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000636
广东卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000636
广东卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000445
广东卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000445
广西卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000086
广西卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000086
贵州卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000577
贵州卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000577
海南卫视,http://10.255.126.3:8006/AHBKLIVE/12000000000000000000000000000003
海南卫视,http://10.49.6.247:8112/AHBKLIVE/12000000000000000000000000000003
河北卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000575
河北卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000575
河南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000085
河南卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000085
黑龙江卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000196
黑龙江卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000196
湖北卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000267
湖北卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000267
湖南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000195
湖南卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000195
吉林卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000619
吉林卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000619
江西卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000065
江西卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000065
辽宁卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000472
辽宁卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000472
内蒙古卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000098
内蒙古卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000098
宁夏卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000640
宁夏卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000640
宁夏卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000082
宁夏卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000082
青海卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000096
青海卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000096
三沙卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000589
三沙卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000589
厦门卫视,http://10.255.126.3:8006/AHBKLIVE/00005000000000000000000000000244
厦门卫视,http://10.49.6.247:8112/AHBKLIVE/00005000000000000000000000000244
山东卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000470
山东卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000470
山西卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000099
山西卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000099
陕西卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000090
陕西卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000090
深圳卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000638
深圳卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000638
深圳卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000197
深圳卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000197
四川卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000069
四川卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000069
天津卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000266
天津卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000266
西藏卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000639
西藏卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000639
西藏卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000100
西藏卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000100
新疆卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000641
新疆卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000641
新疆卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000097
新疆卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000097
云南卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000060
云南卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000060
重庆卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000083
重庆卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000083

安徽频道,#genre#
安徽卫视,http://10.255.126.3:8006/AHBKLIVE/00000001000000050000000000000039
安徽卫视,http://10.49.6.247:8112/AHBKLIVE/00000001000000050000000000000039
安徽公共,http://10.255.126.3:8006/AHBKLIVE/11111100000000000000000000000009
安徽公共,http://10.49.6.247:8112/AHBKLIVE/11111100000000000000000000000009
安徽经济生活,http://10.255.126.3:8006/AHBKLIVE/11111100000000000000000000000005
安徽经济生活,http://10.49.6.247:8112/AHBKLIVE/11111100000000000000000000000005
安徽影视,http://10.255.126.3:8006/AHBKLIVE/11111100000000000000000000000007
安徽影视,http://10.49.6.247:8112/AHBKLIVE/11111100000000000000000000000007
安徽农业科教,http://10.255.126.3:8006/AHBKLIVE/11111100000000000000000000000013
安徽农业科教,http://10.49.6.247:8112/AHBKLIVE/11111100000000000000000000000013
安徽综艺体育,http://10.255.126.3:8006/AHBKLIVE/11111100000000000000000000000011
安徽综艺体育,http://10.49.6.247:8112/AHBKLIVE/11111100000000000000000000000011
安徽国际,http://10.255.126.3:8006/AHBKLIVE/11111100000000000000000000000015
安徽国际,http://10.49.6.247:8112/AHBKLIVE/11111100000000000000000000000015
